func,arg,desc
financepy.finutils.FinAmount,"FinAmount(notional: float = ONE_MILLION,
currencyType: FinCurrencyTypes = FinCurrencyTypes.NONE):",A FinAmount is a holder for an amount in a specific currency.
financepy.finutils.FinAmount.amount,amount():,return self. Notional
financepy.finutils.FinCalender,FinCalendar(calendarType: FinCalendarTypes):,Create a calendar based on a specified calendar type.
financepy.finutils.FinCalender.adjust,"adjust(dt: FinDate,
busDayConventionType: FinBusDayAdjustTypes):",Adjust a payment date if it falls on a holiday according to the specified business day convention
financepy.finutils.FinCalender.addBusinessDays,"addBusinessDays(startDate: FinDate,
numDays: int):","Returns a new date that is numDays business days after FinDate. All holidays in the chosen calendar are
assumed not business days."
financepy.finutils.FinCalender.isBusinessDay,isBusinessDay(dt: FinDate):,"Determines if a date is a business day according to the specified calendar. If it is it returns True, otherwise
False."
financepy.finutils.FinCalender.getHolidayList,getHolidayList(year: float):,generates a list of holidays in a specific year for the specified calendar. Useful for diagnostics.
financepy.finutils.FinCalender.easterMonday,easterMonday(year: float):,"Get the day in a given year that is Easter Monday. This is not easy to compute so we rely on a pre-calculated
array."
financepy.finutils.FinDate,FinDate(*args):,"Create a date given a day of month, month and year. The arguments must be in the order of day (of month),
month number and then the year. The year must be a 4-digit number greater than or equal to 1900. Example
Input: start date = FinDate(’1-1-2018’, ’start date = FinDate(1, 1, 2018)"
financepy.finutils.FinDate.isWeekend,isWeekend():,returns True if the date falls on a weekend.
financepy.finutils.FinDate.addDays,addDays(numDays: int = 1):,Returns a new date that is numDays after the FinDate. I also make it possible to go backwards a number of days.
financepy.finutils.FinDate.addWeekDays,addWeekDays(numDays: int):,"Returns a new date that is numDays working days after FinDate. Note that only weekends are taken into
account. Other Holidays are not. If you want to include regional holidays then use addBusinessDays from
the FinCalendar class."
financepy.finutils.FinDate.addMonths,"addMonths(mm: (list, int)):","Returns a new date that is mm months after the FinDate. If mm is an integer or float you get back a single
date. If mm is a vector you get back a vector of dates."
financepy.finutils.FinDate.addYears,"addYears(yy: (np.ndarray, float)):","Returns a new date that is yy years after the FinDate. If yy is an integer or float you get back a single date.
If yy is a list you get back a vector of dates."
financepy.finutils.FinDate.nextCDSDate,nextCDSDate(mm: int = 0):,"Returns a CDS date that is mm months after the FinDate. If no argument is supplied then the next CDS date
after today is returned."
financepy.finutils.FinDate.thirdWednesdayOfMonth,"thirdWednesdayOfMonth(m: int, # Month number
y: int): # Year number","For a specific month and year this returns the day number of the 3rd Wednesday by scanning through dates
in the third week."
"financepy.finutils.FinDate,nextMMDate",nextIMMDate():,"This function returns the next IMM date after the current date This is a 3rd Wednesday of Jun, March, Sep
or December. For an IMM contract the IMM date is the First Delivery Date of the futures contract."
financepy.finutils.FinDate.addTenor,addTenor(tenor: str):,"Return the date following the FinDate by a period given by the tenor which is a string consisting of a
number and a letter, the letter being d, w, m , y for day, week, month or year. This is case independent.
For example 10Y means 10 years while 120m also means 10 years. The date is NOT weekend or holiday
calendar adjusted. This must be done AFTERWARDS."
financepy.finutils.FinDate.datetime,datetime():,Returns a datetime of the date
financepy.finutils.FinDate.str,str(format):,returns a formatted string of the date
financepy.finutils.FinDate.setDateFormatType,setDateFormatType(formatType):,global gDateFormatType
financepy.finutils.FinDate.isLeapYear,isLeapYear(y: int):,"Test whether year y is a leap year - if so return True, else False"
financepy.finutils.FinDate.calculateList,calculateList():,"Calculate list of dates so that we can do quick lookup to get the number of dates since 1 Jan 1900 (inclusive)
BUT TAKING INTO ACCOUNT THE FACT THAT EXCEL MISTAKENLY CALLS 1900 A LEAP YEAR. For
us, agreement with Excel is more important than this leap year error and in any case, we will not usually be
calculating day differences with start dates before 28 Feb 1900. Note that Excel inherited this ”BUG” from
LOTUS 1-2-3."
financepy.finutils.FinDate.dateIndex,"dateIndex(d, m, y):",idx = (y-gStartYear) * 12 * 31 + (m-1) * 31 + (d-1)
financepy.finutils.FinDate.dateFromIndex,dateFromIndex(idx):,"Reverse mapping from index to date. Take care with numba as it can do weird rounding on the integer. Seems
OK now."
financepy.finutils.FinDate.weekDay,weekDay(dayCount):,weekday = (dayCount+5)
financepy.finutils.FinDate.dailyWorkingDaySchedule,"dailyWorkingDaySchedule(self,
startDate: FinDate,
endDate: FinDate):","Returns a list of working dates between startDate and endDate. This function should be replaced by dateRange
once addTenor allows for working days."
financepy.finutils.FinDate.datediff,"datediff(d1: FinDate,
d2: FinDate):",Calculate the number of days between two Findates.
financepy.finutils.FinDate.fromDatetime,fromDatetime(dt: FinDate):,"Construct a FinDate from a datetime as this is often needed if we receive inputs from other Python objects
such as Pandas dataframes"
financepy.finutils.FinDate.daysInMonth,"daysInMonth(m, y):",Get the number of days in the month (1-12) of a given year y.
financepy.finutils.FinDate.dateRange,"dateRange(startDate: FinDate,
endDate: FinDate,
tenor: str = ""1D""):","Returns a list of dates between startDate (inclusive) and endDate (inclusive). The tenor represents the
distance between two consecutive dates and is set to daily by default."
financepy.finutils.FinDate.testType,testType():,global gDateFormatType
financepy.finutils.FinDayCount,FinDayCount(dccType: FinDayCountTypes):,Create Day Count convention by passing in the Day Count Type.
